incident_id,timestamp,time,system_state,incident_phase,failing_service,service_name,project_id,cpu_percent,in_flight_queue,incoming_rate,processing_rate,queue_growth_rate,cpu_trend_5min_ma,cpu_trend_10min_ma,label
INC-00000,2026-05-01T00:00:00,00:00:00,healthy,normal,,Node.js,1,42.67,57.83,176.63,118.15,58.48,42.6705,42.6705,0
INC-00001,2026-05-01T00:01:00,00:01:00,failure,critical,Ruby,Ruby,5,97.02,116.91,91.04,56.53,34.52,69.846,69.846,1
INC-00002,2026-05-01T00:02:00,00:02:00,warning,degraded,Php,Php,3,49.42,45.76,127.16,100.43,26.73,63.0378,63.0378,0
INC-00003,2026-05-01T00:03:00,00:03:00,healthy,normal,,Go,2,42.83,35.8,81.78,74.54,7.25,57.9852,57.9852,0
INC-00004,2026-05-01T00:04:00,00:04:00,healthy,normal,,Python,0,28.52,50.74,120.44,79.0,41.44,52.0913,52.0913,0
INC-00005,2026-05-01T00:05:00,00:05:00,healthy,normal,,Python,0,41.86,35.41,131.58,99.57,32.02,51.9284,50.3854,0
INC-00006,2026-05-01T00:06:00,00:06:00,healthy,normal,,Python,0,34.45,29.44,115.36,93.31,22.05,39.4146,48.1093,0
INC-00007,2026-05-01T00:07:00,00:07:00,healthy,normal,,Java,4,35.23,59.58,141.42,96.12,45.29,36.5764,46.4994,0
INC-00008,2026-05-01T00:08:00,00:08:00,warning,degraded,Go,Go,2,63.52,62.57,122.97,104.9,18.07,40.7147,48.3905,1
INC-00009,2026-05-01T00:09:00,00:09:00,healthy,normal,,Php,3,44.7,46.25,104.33,67.04,37.29,43.9509,48.0211,0
INC-00010,2026-05-01T00:10:00,00:10:00,healthy,normal,,Python,0,25.08,77.35,103.0,64.19,38.8,40.5964,46.2624,0
INC-00011,2026-05-01T00:11:00,00:11:00,healthy,normal,,Ruby,5,39.86,44.79,144.33,124.11,20.22,41.6785,40.5465,0
INC-00012,2026-05-01T00:12:00,00:12:00,warning,degraded,Java,Java,4,73.81,43.94,100.39,72.68,27.71,49.3946,42.9855,0
INC-00013,2026-05-01T00:13:00,00:13:00,healthy,normal,,Python,0,40.73,63.21,147.46,95.51,51.95,44.8369,42.7758,0
INC-00014,2026-05-01T00:14:00,00:14:00,warning,degraded,Python,Python,0,83.6,47.35,156.68,127.22,29.46,52.617,48.284,0
INC-00015,2026-05-01T00:15:00,00:15:00,healthy,normal,,Python,0,30.77,51.7,69.94,73.96,-4.03,53.754,47.1752,0
INC-00016,2026-05-01T00:16:00,00:16:00,failure,critical,Node.js,Node.js,1,95.66,79.59,153.99,148.15,5.84,64.9132,53.2958,1
INC-00017,2026-05-01T00:17:00,00:17:00,failure,critical,Go,Go,2,87.15,130.33,181.81,183.23,-1.42,67.5813,58.4879,1
INC-00018,2026-05-01T00:18:00,00:18:00,healthy,normal,,Node.js,1,44.87,13.46,127.56,132.15,-4.59,68.4086,56.6227,0
INC-00019,2026-05-01T00:19:00,00:19:00,healthy,normal,,Node.js,1,34.94,25.58,137.97,149.88,-11.91,58.6768,55.6469,0
INC-00020,2026-05-01T00:20:00,00:20:00,healthy,normal,,Go,2,31.9,23.29,151.11,148.33,2.78,58.9025,56.3283,0
INC-00021,2026-05-01T00:21:00,00:21:00,healthy,normal,,Python,0,45.45,29.15,111.74,101.03,10.7,48.8605,56.8868,0
INC-00022,2026-05-01T00:22:00,00:22:00,warning,degraded,Node.js,Node.js,1,61.07,39.02,125.47,98.21,27.26,43.6438,55.6125,0
INC-00023,2026-05-01T00:23:00,00:23:00,failure,critical,Node.js,Node.js,1,76.7,120.27,80.57,55.66,24.91,50.01,59.2093,1
INC-00024,2026-05-01T00:24:00,00:24:00,warning,degraded,Go,Go,2,60.87,63.29,124.16,117.12,7.04,55.1953,56.936,1
INC-00025,2026-05-01T00:25:00,00:25:00,failure,critical,Java,Java,4,92.95,134.45,134.94,148.1,-13.15,67.4064,63.1544,1
INC-00026,2026-05-01T00:26:00,00:26:00,healthy,normal,,Python,0,46.14,11.98,135.48,112.95,22.53,67.5439,58.2022,0
INC-00027,2026-05-01T00:27:00,00:27:00,healthy,normal,,Go,2,35.89,51.67,151.96,146.16,5.8,62.5082,53.076,0
INC-00028,2026-05-01T00:28:00,00:28:00,warning,degraded,Go,Go,2,75.55,56.37,96.76,82.01,14.75,62.2777,56.1438,0
INC-00029,2026-05-01T00:29:00,00:29:00,healthy,normal,,Python,0,24.13,43.43,104.02,84.88,19.14,54.9316,55.0634,0
INC-00030,2026-05-01T00:30:00,00:30:00,warning,degraded,Go,Go,2,61.45,48.78,176.87,142.4,34.46,48.6319,58.0191,0
INC-00031,2026-05-01T00:31:00,00:31:00,healthy,normal,,Python,0,32.69,53.81,115.49,98.43,17.06,45.9429,56.7434,0
INC-00032,2026-05-01T00:32:00,00:32:00,healthy,normal,,Python,0,34.08,65.29,126.0,98.72,27.29,45.5818,54.045,0
INC-00033,2026-05-01T00:33:00,00:33:00,recovering,recovery,,Ruby,5,50.67,18.5,117.99,114.97,3.02,40.6072,51.4425,0
INC-00034,2026-05-01T00:34:00,00:34:00,healthy,normal,,Ruby,5,40.53,45.11,95.35,98.89,-3.54,43.8858,49.4087,0
INC-00035,2026-05-01T00:35:00,00:35:00,recovering,recovery,,Java,4,46.44,80.17,168.71,175.7,-6.99,40.8833,44.7576,0
INC-00036,2026-05-01T00:36:00,00:36:00,recovering,recovery,,Node.js,1,51.11,78.33,104.17,74.36,29.81,44.5675,45.2552,0
INC-00037,2026-05-01T00:37:00,00:37:00,warning,degraded,Python,Python,0,64.64,67.02,86.18,90.31,-4.13,50.6786,48.1302,0
INC-00038,2026-05-01T00:38:00,00:38:00,warning,degraded,Php,Php,3,57.59,60.74,106.48,82.07,24.41,52.0626,46.3349,0
INC-00039,2026-05-01T00:39:00,00:39:00,healthy,normal,,Node.js,1,34.09,83.09,59.95,45.24,14.71,50.7753,47.3305,0
INC-00040,2026-05-01T00:40:00,00:40:00,failure,critical,Python,Python,0,86.85,168.36,100.46,96.78,3.68,58.8571,49.8702,0
INC-00041,2026-05-01T00:41:00,00:41:00,healthy,normal,,Go,2,33.68,47.42,90.96,68.43,22.53,55.3705,49.969,0
INC-00042,2026-05-01T00:42:00,00:42:00,healthy,normal,,Python,0,35.25,30.61,138.52,86.78,51.74,49.4935,50.0861,0
INC-00043,2026-05-01T00:43:00,00:43:00,warning,degraded,Ruby,Ruby,5,65.61,44.59,99.8,78.52,21.28,51.096,51.5793,0
INC-00044,2026-05-01T00:44:00,00:44:00,healthy,normal,,Node.js,1,31.54,111.93,146.63,140.88,5.76,50.5862,50.6808,0
INC-00045,2026-05-01T00:45:00,00:45:00,healthy,normal,,Php,3,45.18,18.61,161.95,123.65,38.31,42.2524,50.5548,0
INC-00046,2026-05-01T00:46:00,00:46:00,healthy,normal,,Node.js,1,25.64,40.59,143.44,131.21,12.22,40.6454,48.008,0
INC-00047,2026-05-01T00:47:00,00:47:00,healthy,normal,,Go,2,29.23,21.75,113.54,105.6,7.94,39.441,44.4673,0
INC-00048,2026-05-01T00:48:00,00:48:00,failure,critical,Go,Go,2,100.0,132.5,124.23,120.12,4.12,46.32,48.708,1
INC-00049,2026-05-01T00:49:00,00:49:00,healthy,normal,,Python,0,26.7,25.95,74.25,77.86,-3.61,45.3508,47.9685,0
INC-00050,2026-05-01T00:50:00,00:50:00,recovering,recovery,,Ruby,5,39.17,47.82,115.99,94.68,21.31,44.1485,43.2005,0
INC-00051,2026-05-01T00:51:00,00:51:00,warning,degraded,Php,Php,3,70.88,11.0,94.19,64.35,29.84,53.1948,46.9201,0
INC-00052,2026-05-01T00:52:00,00:52:00,failure,critical,Ruby,Ruby,5,71.38,142.35,140.83,106.95,33.87,61.625,50.533,1
INC-00053,2026-05-01T00:53:00,00:53:00,healthy,normal,,Java,4,33.12,74.45,197.18,160.92,36.27,48.2485,47.2842,0
INC-00054,2026-05-01T00:54:00,00:54:00,warning,degraded,Go,Go,2,82.17,42.32,134.99,129.18,5.81,59.3426,52.3467,0
INC-00055,2026-05-01T00:55:00,00:55:00,healthy,normal,,Ruby,5,22.64,47.3,60.27,36.55,23.71,56.0368,50.0926,0
INC-00056,2026-05-01T00:56:00,00:56:00,failure,critical,Python,Python,0,72.14,126.73,109.16,82.73,26.43,56.2904,54.7426,1
INC-00057,2026-05-01T00:57:00,00:57:00,healthy,normal,,Python,0,23.01,53.62,123.67,122.43,1.25,46.6152,54.1201,0
INC-00058,2026-05-01T00:58:00,00:58:00,failure,critical,Python,Python,0,95.19,129.24,122.62,114.7,7.92,59.029,53.6388,1
INC-00059,2026-05-01T00:59:00,00:59:00,recovering,recovery,,Node.js,1,59.0,65.36,98.08,94.73,3.35,54.3953,56.869,0
INC-00060,2026-05-01T01:00:00,01:00:00,healthy,normal,,Node.js,1,30.9,74.66,127.36,128.11,-0.75,56.047,56.0419,0
INC-00061,2026-05-01T01:01:00,01:01:00,healthy,normal,,Node.js,1,40.47,33.72,82.72,82.03,0.69,49.7113,53.0009,0
INC-00062,2026-05-01T01:02:00,01:02:00,warning,degraded,Java,Java,4,76.12,43.81,91.65,86.25,5.4,60.3344,53.4748,0
INC-00063,2026-05-01T01:03:00,01:03:00,healthy,normal,,Node.js,1,49.3,68.03,139.37,114.26,25.11,51.1568,55.0929,0
INC-00064,2026-05-01T01:04:00,01:04:00,failure,critical,Node.js,Node.js,1,86.03,101.57,89.53,97.75,-8.22,56.563,55.4792,1
INC-00065,2026-05-01T01:05:00,01:05:00,healthy,normal,,Go,2,16.59,10.59,136.15,120.43,15.72,53.7008,54.8739,0
INC-00066,2026-05-01T01:06:00,01:06:00,healthy,normal,,Python,0,28.43,54.53,78.92,55.35,23.57,51.2943,50.5028,0
INC-00067,2026-05-01T01:07:00,01:07:00,recovering,recovery,,Java,4,46.59,59.93,172.94,129.09,43.86,45.387,52.8607,0
INC-00068,2026-05-01T01:08:00,01:08:00,warning,degraded,Python,Python,0,62.93,35.55,96.77,91.62,5.15,48.1129,49.6349,0
INC-00069,2026-05-01T01:09:00,01:09:00,failure,critical,Ruby,Ruby,5,86.5,118.43,113.29,120.36,-7.07,48.2065,52.3847,0
INC-00070,2026-05-01T01:10:00,01:10:00,healthy,normal,,Php,3,43.95,34.8,129.92,89.56,40.36,53.6791,53.6899,0
INC-00071,2026-05-01T01:11:00,01:11:00,warning,degraded,Python,Python,0,75.2,32.66,103.04,66.07,36.97,63.0316,57.1629,0
INC-00072,2026-05-01T01:12:00,01:12:00,healthy,normal,,Python,0,33.63,63.87,124.3,129.37,-5.07,60.4398,52.9134,0
INC-00073,2026-05-01T01:13:00,01:13:00,warning,degraded,Java,Java,4,73.79,26.39,137.26,145.17,-7.91,62.6116,55.3623,0
INC-00074,2026-05-01T01:14:00,01:14:00,warning,degraded,Php,Php,3,67.86,44.69,148.82,109.86,38.96,58.8845,53.5455,0
INC-00075,2026-05-01T01:15:00,01:15:00,healthy,normal,,Php,3,35.52,31.89,143.74,113.36,30.38,57.1975,55.4383,0
INC-00076,2026-05-01T01:16:00,01:16:00,healthy,normal,,Php,3,42.25,20.89,114.85,106.82,8.03,50.6088,56.8202,0
INC-00077,2026-05-01T01:17:00,01:17:00,healthy,normal,,Python,0,35.58,67.4,115.6,88.43,27.17,50.9991,55.7194,0
INC-00078,2026-05-01T01:18:00,01:18:00,warning,degraded,Node.js,Node.js,1,81.46,39.6,190.47,197.82,-7.35,52.534,57.5728,0
INC-00079,2026-05-01T01:19:00,01:19:00,healthy,normal,,Python,0,23.49,53.77,148.5,97.09,51.41,43.6603,51.2724,0
INC-00080,2026-05-01T01:20:00,01:20:00,warning,degraded,Java,Java,4,60.88,19.84,92.35,57.16,35.18,48.7328,52.9651,0
INC-00081,2026-05-01T01:21:00,01:21:00,healthy,normal,,Go,2,33.99,35.16,123.0,86.62,36.38,47.0799,48.8444,0
INC-00082,2026-05-01T01:22:00,01:22:00,warning,degraded,Node.js,Node.js,1,68.52,65.12,109.95,81.69,28.25,53.6675,52.3333,0
INC-00083,2026-05-01T01:23:00,01:23:00,warning,degraded,Python,Python,0,75.14,101.75,115.94,76.11,39.83,52.4037,52.4689,0
INC-00084,2026-05-01T01:24:00,01:24:00,healthy,normal,,Node.js,1,34.8,10.48,83.12,52.6,30.52,54.6661,49.1632,0
INC-00085,2026-05-01T01:25:00,01:25:00,healthy,normal,,Node.js,1,23.62,45.98,107.64,105.25,2.39,47.2148,47.9738,0
INC-00086,2026-05-01T01:26:00,01:26:00,healthy,normal,,Php,3,41.74,58.25,174.35,118.93,55.42,48.7653,47.9226,0
